report_title,report_url,pdf_filename,page_number,row_number,Code rayon d'action,Crédit %,Crédit Montant,Dépôts %,Dépôts Montant,Nombre Guichets,Rayon d'action,periode
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,1,8,3.56,42942222,6.34,86451366,458,AGADIR,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,2,12,0.12,1466042,0.89,12153067,58,AL HOCEIMA,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,3,16,0.82,9892331,3.58,48818635,233,BENI MELLAL,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,4,25,64.7,779959432,33.74,459765536,1219,SUCCURSALE DE CASABLANCA,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,5,28,1.0,12001395,1.19,16192221,100,LAAYOUNE,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,6,30,0.96,11540943,1.67,22710113,137,EL JADIDA,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,7,35,1.82,21894234,4.19,57088398,333,FES,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,8,45,1.26,15165591,2.33,31681960,164,KENITRA,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,9,55,0.41,4979540,0.99,13480546,63,LARACHE,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,10,60,2.96,35660217,6.15,83744529,363,MARRAKECH,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,11,63,2.09,25228741,4.27,58161288,375,MEKNES,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,12,66,0.51,6093786,3.93,53571741,180,NADOR,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,13,70,0.16,1893554,0.76,10300736,68,OUARZAZATE,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,14,73,1.14,13753320,3.88,52916126,277,OUJDA,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,15,78,14.12,170256896,14.97,204006862,587,SUCCURSALE DE RABAT,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,16,80,0.59,7085881,1.29,17552438,109,SAFI,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,17,83,0.73,8774009,1.57,21394471,133,SETTAT,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,18,86,2.12,25515760,4.94,67245867,249,TANGER,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,19,88,0.3,3669075,1.19,16236456,94,TAZA,02-2026
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,20,96,0.65,7821206,2.14,29120857,132,TETOUAN,02-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,1,8,3.56,43213950,6.29,85817498,458,AGADIR,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,2,12,0.12,1448927,0.89,12143565,58,AL HOCEIMA,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,3,16,0.81,9830825,3.55,48495366,233,BENI MELLAL,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,4,25,65.37,793659052,34.34,468519587,1219,SUCCURSALE DE CASABLANCA,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,5,28,0.68,8197837,1.21,16449833,100,LAAYOUNE,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,6,30,0.96,11683523,1.66,22668976,137,EL JADIDA,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,7,35,1.81,21936065,4.16,56814405,333,FES,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,8,45,1.24,15111810,2.3,31337974,164,KENITRA,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,9,55,0.41,4978358,0.98,13426041,63,LARACHE,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,10,60,2.94,35658803,6.12,83467745,363,MARRAKECH,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,11,63,2.08,25262439,4.26,58074495,375,MEKNES,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,12,66,0.5,6081572,3.92,53415670,180,NADOR,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,13,70,0.15,1869317,0.76,10312011,68,OUARZAZATE,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,14,73,1.14,13796501,3.86,52606045,277,OUJDA,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,15,78,13.89,168630149,14.59,199022445,587,SUCCURSALE DE RABAT,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,16,80,0.58,7084086,1.28,17467422,109,SAFI,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,17,83,0.71,8676187,1.56,21226807,133,SETTAT,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,18,86,2.1,25511637,4.98,67893205,249,TANGER,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,19,88,0.3,3661810,1.19,16188477,94,TAZA,01-2026
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,20,96,0.64,7789381,2.13,29002338,132,TETOUAN,01-2026
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,1,8,3.58,44647378,6.3,86373132,457,AGADIR,12-2025
