devise_code,devise_libelle,unite,date_cours,cours_moyen
EUR,EURO,1,13/07/2026,"10,6416"
EUR,EURO,1,12/07/2026,-
USD,DOLLAR U.S.A.,1,13/07/2026,"9,3116"
USD,DOLLAR U.S.A.,1,12/07/2026,-
CAD,DOLLAR CANADIEN,1,13/07/2026,"6,5852"
CAD,DOLLAR CANADIEN,1,12/07/2026,-
GBP,LIVRE STERLING,1,13/07/2026,"12,471"
GBP,LIVRE STERLING,1,12/07/2026,-
GIP,LIVRE GIBRALTAR,1,13/07/2026,"12,471"
GIP,LIVRE GIBRALTAR,1,12/07/2026,-
CHF,FRANC SUISSE,1,13/07/2026,"11,510"
CHF,FRANC SUISSE,1,12/07/2026,-
DKK,COURONNES DANOISES,100,13/07/2026,"142,36"
DKK,COURONNES DANOISES,100,12/07/2026,-
SEK,COURONNES SUEDOISES,100,13/07/2026,"96,462"
SEK,COURONNES SUEDOISES,100,12/07/2026,-
NOK,COURONNES NORVEGIENNES,100,13/07/2026,"95,327"
NOK,COURONNES NORVEGIENNES,100,12/07/2026,-
SAR,RIYAL SAOUDIEN,1,13/07/2026,"2,4800"
SAR,RIYAL SAOUDIEN,1,12/07/2026,-
KWD,DINAR KOWEITIEN,1,13/07/2026,"30,061"
KWD,DINAR KOWEITIEN,1,12/07/2026,-
AED,DIRHAM E.A.U.,1,13/07/2026,"2,5351"
AED,DIRHAM E.A.U.,1,12/07/2026,-
QAR,RIYAL QATARI,1,13/07/2026,"2,5542"
QAR,RIYAL QATARI,1,12/07/2026,-
BHD,DINAR BAHREINI,1,13/07/2026,"24,698"
BHD,DINAR BAHREINI,1,12/07/2026,-
JPY,YENS JAPONAIS,100,13/07/2026,"5,7440"
JPY,YENS JAPONAIS,100,12/07/2026,-
DZD,DINARS ALGERIENS,10,13/07/2026,"0,6999"
DZD,DINARS ALGERIENS,10,12/07/2026,-
TND,DINAR TUNISIEN,1,13/07/2026,"3,1545"
TND,DINAR TUNISIEN,1,12/07/2026,-
LYD,DINAR LIBYEN,1,13/07/2026,"1,9055"
LYD,DINAR LIBYEN,1,12/07/2026,-
MRO,OUGUIYAS MAURITANIENNES,100,13/07/2026,"23,532"
MRO,OUGUIYAS MAURITANIENNES,100,12/07/2026,-
OMR,RIYAL OMANI,1,13/07/2026,"24,185"
OMR,RIYAL OMANI,1,12/07/2026,-
BRL,REAL BRÉSILIEN,1,13/07/2026,"1,8217"
BRL,REAL BRÉSILIEN,1,12/07/2026,-
RUB,ROUBLE RUSSE,1,13/07/2026,"0,1214"
RUB,ROUBLE RUSSE,1,12/07/2026,-
INR,ROUPIE INDIENNE,1,13/07/2026,"0,0973"
INR,ROUPIE INDIENNE,1,12/07/2026,-
CNY,YUAN CHINOIS,1,13/07/2026,"1,3730"
CNY,YUAN CHINOIS,1,12/07/2026,-
AUD,DOLLAR AUSTRALIEN,1,13/07/2026,"6,4626"
AUD,DOLLAR AUSTRALIEN,1,12/07/2026,-
ZAR,RAND SUD-AFRICAIN,1,13/07/2026,"0,5693"
ZAR,RAND SUD-AFRICAIN,1,12/07/2026,-
TRY,LIVRE TURQUE,1,13/07/2026,"0,1981"
TRY,LIVRE TURQUE,1,12/07/2026,-
EGP,LIVRE EGYPTIENNE,1,13/07/2026,"0,1855"
EGP,LIVRE EGYPTIENNE,1,12/07/2026,-
JOD,DINAR JORDANIEN,1,13/07/2026,"13,141"
JOD,DINAR JORDANIEN,1,12/07/2026,-
XOF,FRANC CFA,100,13/07/2026,"1,6223"
XOF,FRANC CFA,100,12/07/2026,-
