report_title,report_url,pdf_filename,page_number,row_number,code_localite,localite,montant_des_credits,montant_des_depots,nombre_guichets,periode
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,1,10,AGADIR,27887290,40712619,172,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,2,566,AGDZ,69185,331330,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,3,97,AGHBALA,105805,160316,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,4,493,AGOURAI,50284,359112,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,5,576,AHFIR,193551,2070964,9,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,6,827,AINATTIG,157913,247450,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,7,583,AINBENIMATHAR,66589,388991,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,8,822,AINELAOUDA,429563,888121,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,9,796,AINHARROUDA,828942,1663548,10,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,10,492,AINTAOUJDATE,328570,1416390,8,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,11,502,AINZOHRA,5320,477429,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,12,12,AITBAHA,60853,384426,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,13,386,AITISHAK,27175,182813,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,14,22,AITMELLOUL,4034937,6824324,34,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,15,454,AITOURIR,132257,723485,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,16,697,AJDIR,16611,317598,3,02-2026
