report_title,report_url,pdf_filename,page_number,row_number,code_rayon_d_action,credit_montant,credit_percent,depots_montant,depots_percent,nombre_guichets,periode,rayon_d_action
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,1,8,42942222,3.56,86451366,6.34,458,02-2026,AGADIR
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,2,12,1466042,0.12,12153067,0.89,58,02-2026,ALHOCEIMA
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,3,16,9892331,0.82,48818635,3.58,233,02-2026,BENIMELLAL
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,4,25,779959432,64.7,459765536,33.74,1219,02-2026,SUCCURSALEDECASABLANCA
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,5,28,12001395,1.0,16192221,1.19,100,02-2026,LAAYOUNE
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,6,30,11540943,0.96,22710113,1.67,137,02-2026,ELJADIDA
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,7,35,21894234,1.82,57088398,4.19,333,02-2026,FES
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,8,45,15165591,1.26,31681960,2.33,164,02-2026,KENITRA
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,9,55,4979540,0.41,13480546,0.99,63,02-2026,LARACHE
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,10,60,35660217,2.96,83744529,6.15,363,02-2026,MARRAKECH
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,11,63,25228741,2.09,58161288,4.27,375,02-2026,MEKNES
