report_title,report_url,pdf_filename,page_number,row_number,categorie,encours_mdh,periode
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,1,Créditbancaire,204873.14715792876,2001-12-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,2,Créditbancaire,203701.598740816,2002-01-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,3,Créditbancaire,205570.75409530365,2002-02-28
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,4,Créditbancaire,202935.32246103018,2002-03-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,5,Créditbancaire,204003.76957149972,2002-04-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,6,Créditbancaire,204600.32102985732,2002-05-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,7,Créditbancaire,208367.85338134042,2002-06-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,8,Créditbancaire,209531.24885559085,2002-07-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,9,Créditbancaire,209979.00925776738,2002-08-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,10,Créditbancaire,209571.5949719436,2002-09-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,11,Créditbancaire,210055.2975449044,2002-10-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,12,Créditbancaire,211819.71918430668,2002-11-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,13,Créditbancaire,211091.98513533967,2002-12-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,14,Créditbancaire,212033.99653300032,2003-01-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,15,Créditbancaire,212835.76997687732,2003-02-28
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,16,Créditbancaire,214990.84056943413,2003-03-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,17,Créditbancaire,218602.38537098223,2003-04-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,18,Créditbancaire,221099.62017536192,2003-05-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,19,Créditbancaire,221414.5708894878,2003-06-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,20,Créditbancaire,224617.4700542899,2003-07-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,21,Créditbancaire,225020.67627014947,2003-08-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,22,Créditbancaire,222264.61115298493,2003-09-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,23,Créditbancaire,225443.9796165615,2003-10-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,24,Créditbancaire,224399.1486550427,2003-11-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,25,Créditbancaire,224368.79780255057,2003-12-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,26,Créditbancaire,223414.96948603724,2004-01-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,27,Créditbancaire,226516.81439054298,2004-02-29
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,28,Créditbancaire,225768.10752349286,2004-03-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,29,Créditbancaire,229751.19665293698,2004-04-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,30,Créditbancaire,229098.07665121218,2004-05-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,31,Créditbancaire,236032.52430973336,2004-06-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,32,Créditbancaire,238044.31725067447,2004-07-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,33,Créditbancaire,237775.75161965447,2004-08-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,34,Créditbancaire,238465.14809553488,2004-09-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,35,Créditbancaire,238902.11161749013,2004-10-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,36,Créditbancaire,239177.90190885725,2004-11-30
