niveau,code_commune,code_province,code_region,code_pays,nom,nom_province,nom_region,centroid_lon,centroid_lat,centroid_x_3857,centroid_y_3857
region,,,MA-01,MA,Tanger-Tétouan-Al Hoceima,,Tanger-Tétouan-Al Hoceima,-5.432928,35.216808,-604790.8158705137,4193383.601808654
province,,MA-01-051,MA-01,MA,Al Hoceima,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.184572,34.959804,-465824.4498211489,4158419.9581974717
commune,MA-01-051-1107,MA-01-051,MA-01,MA,Bni Abdellah,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.070295,35.041304,-453103.1310507355,4169495.6104291133
commune,MA-01-051-1109,MA-01-051,MA-01,MA,Bni Hadifa,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.173981,34.995845,-464645.4136597054,4163316.5105905845
commune,MA-01-051-1101,MA-01-051,MA-01,MA,Ait Kamra,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.003762,35.150218,-445696.7645740863,4184313.954767256
commune,MA-01-051-1125,MA-01-051,MA-01,MA,Zaouiat Sidi Abdelkader,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.13896,34.931657,-460746.94322613394,4154597.4103159737
commune,MA-01-051-1121,MA-01-051,MA-01,MA,Rouadi,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.171693,35.159828,-464390.76919086697,4185622.398892247
commune,MA-01-051-1115,MA-01-051,MA-01,MA,Izemmouren,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.010978,35.198084,-446500.08408156777,4190832.5886379373
commune,MA-01-051-1303,MA-01-051,MA-01,MA,Ait Youssef Ou Ali,Al Hoceima,Tanger-Tétouan-Al Hoceima,-3.877828,35.166176,-431677.8190960634,4186486.7239163285
commune,MA-01-051-1305,MA-01-051,MA-01,MA,Arbaa Taourirt,Al Hoceima,Tanger-Tétouan-Al Hoceima,-3.879593,34.90458,-431874.3206080557,4150921.496994411
commune,MA-01-051-1323,MA-01-051,MA-01,MA,Tifarouine,Al Hoceima,Tanger-Tétouan-Al Hoceima,-3.899439,35.025367,-434083.55837544217,4167328.9313612133
commune,MA-01-051-1313,MA-01-051,MA-01,MA,Imrabten,Al Hoceima,Tanger-Tétouan-Al Hoceima,-3.965819,35.047271,-441472.93007897685,4170306.873313342
commune,MA-01-051-1317,MA-01-051,MA-01,MA,Louta,Al Hoceima,Tanger-Tétouan-Al Hoceima,-3.900049,35.109026,-434151.4772574365,4178707.2879202124
commune,MA-01-051-1319,MA-01-051,MA-01,MA,Nekkour,Al Hoceima,Tanger-Tétouan-Al Hoceima,-3.853272,35.013385,-428944.2355559835,4165700.193105003
commune,MA-01-051-1311,MA-01-051,MA-01,MA,Chakrane,Al Hoceima,Tanger-Tétouan-Al Hoceima,-3.98418,34.911194,-443516.9337491142,4151819.302573574
commune,MA-01-051-0925,MA-01-051,MA-01,MA,Tamsaout,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.758831,34.82702,-529750.6113214702,4140398.661584598
commune,MA-01-051-0923,MA-01-051,MA-01,MA,Taghzout,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.53262,34.765183,-504569.003059683,4132015.994791719
commune,MA-01-051-0719,MA-01-051,MA-01,MA,Sidi Boutmim,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.246163,34.924665,-472680.75390909566,4153648.1256718887
commune,MA-01-051-0711,MA-01-051,MA-01,MA,Bni Bounsar,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.436579,34.865186,-493877.7537085946,4145575.5188987963
commune,MA-01-051-0705,MA-01-051,MA-01,MA,Bni Ammart,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.193749,34.807589,-466846.0193691524,4137763.8358300123
commune,MA-01-051-0707,MA-01-051,MA-01,MA,Bni Bchir,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.339148,34.779377,-483031.7867543804,4133939.5642095804
commune,MA-01-051-0703,MA-01-051,MA-01,MA,Bni Ahmed Imoukzan,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.442587,34.763217,-494546.5435248735,4131749.655866512
commune,MA-01-051-0913,MA-01-051,MA-01,MA,Issaguen,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.565204,34.901485,-508196.1732302122,4150501.41482919
commune,MA-01-051-0915,MA-01-051,MA-01,MA,Ketama,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.679668,34.889125,-520938.2614919455,4148823.8641321445
commune,MA-01-051-0917,MA-01-051,MA-01,MA,Moulay Ahmed Cherif,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.478938,34.929325,-498593.06896480365,4154280.837012009
commune,MA-01-051-0909,MA-01-051,MA-01,MA,Bni Bouchibet,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.508001,34.709434,-501828.4013908815,4124464.181217593
commune,MA-01-051-0901,MA-01-051,MA-01,MA,Abdelghaya Souahel,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.63354,34.785938,-515803.3178543766,4134828.822540733
commune,MA-01-051-0301,MA-01-051,MA-01,MA,Bni Boufrah,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.306378,35.071037,-479383.84330965765,4173538.9838879625
commune,MA-01-051-0303,MA-01-051,MA-01,MA,Bni Gmil,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.371395,35.064328,-486621.4365731906,4172626.5025341753
commune,MA-01-051-0305,MA-01-051,MA-01,MA,Bni Gmil Maksouline,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.447753,35.023909,-495121.56423316983,4167130.757022454
commune,MA-01-051-0307,MA-01-051,MA-01,MA,Senada,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.191179,35.083507,-466559.8763639575,4175235.1425002115
commune,MA-01-051-0727,MA-01-051,MA-01,MA,Zarkt,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.345281,34.898382,-483714.5112337839,4150080.2245815154
commune,MA-01-051-0721,MA-01-051,MA-01,MA,Sidi Bouzineb,Al Hoceima,Tanger-Tétouan-Al Hoceima,-4.090087,34.818869,-455306.41585197404,4139293.337403278
