
osm_id,osm_type,commune_code
34022870,way,MA-01-051-0913
34142635,way,MA-01-051-0101
34142808,way,MA-01-051-0101
40611220,way,MA-01-051-1101
40703757,way,MA-01-051-1115
40703883,way,MA-01-051-0101
40704177,way,MA-01-051-0101
40704180,way,MA-01-051-0101
40705222,way,MA-01-051-1115
40705342,way,MA-01-051-1115
40705925,way,MA-01-051-0101
40706108,way,MA-01-051-0101
40706191,way,MA-01-051-1115
40706191,way,MA-01-051-0101
43317882,way,MA-01-051-0301
43327048,way,MA-01-051-0301
43327383,way,MA-01-051-1101
43327384,way,MA-01-051-1101
43327926,way,MA-01-051-0101
43327927,way,MA-01-051-0101
43327931,way,MA-01-051-0101
43328438,way,MA-01-051-0101
43329420,way,MA-01-051-0101
43329425,way,MA-01-051-0101
43329524,way,MA-01-051-1115
43332370,way,MA-01-051-0105
43368657,way,MA-01-051-0105
43370611,way,MA-01-051-0105
50773337,way,MA-01-051-1115
50773339,way,MA-01-051-1115
51068801,way,MA-01-051-0301
51071765,way,MA-01-051-0301
95225990,way,MA-01-051-0105
95226071,way,MA-01-051-0105
95236429,way,MA-01-051-0105
120681357,way,MA-01-051-0703
120681357,way,MA-01-051-0909
120688974,way,MA-01-051-0703
120688977,way,MA-01-051-0705
134933570,way,MA-01-051-0909
134933575,way,MA-01-051-0909
135730306,way,MA-01-051-1101
136164234,way,MA-01-051-1311
136164234,way,MA-01-051-0721
136164234,way,MA-01-051-0109
136165610,way,MA-01-051-1323
136165610,way,MA-01-051-1311
136165632,way,MA-01-051-0107
136166754,way,MA-01-051-0719
136166759,way,MA-01-051-0719
136166759,way,MA-01-051-0301
136167228,way,MA-01-051-0719
136168075,way,MA-01-051-0705
139102162,way,MA-01-051-0719
139102162,way,MA-01-051-0107
139106631,way,MA-01-051-0917
139114899,way,MA-01-051-0913
139116943,way,MA-01-051-0913
144148550,way,MA-01-051-1319
144148554,way,MA-01-051-1319
144149104,way,MA-01-051-1319
144150980,way,MA-01-051-1319
144153463,way,MA-01-051-0105
144160690,way,MA-01-051-0103
144160691,way,MA-01-051-0103
144163301,way,MA-01-051-0105
144176520,way,MA-01-051-1319
144321714,way,MA-01-051-0107
144327022,way,MA-01-051-0101
144328182,way,MA-01-051-0101
144328187,way,MA-01-051-0101
144332716,way,MA-01-051-1115
144332716,way,MA-01-051-0101
144334216,way,MA-01-051-1115
144334217,way,MA-01-051-1115
144334220,way,MA-01-051-1115
144334222,way,MA-01-051-1115
144334914,way,MA-01-051-1115
144334916,way,MA-01-051-1115
144334918,way,MA-01-051-1115
144334921,way,MA-01-051-1115
144340516,way,MA-01-051-0101
144341214,way,MA-01-051-0101
147052056,way,MA-01-051-0101
147098820,way,MA-01-051-1323
147098820,way,MA-01-051-1319
147098823,way,MA-01-051-1305
147098827,way,MA-01-051-1305
147098827,way,MA-01-051-1319
147224066,way,MA-01-051-0719
147224066,way,MA-01-051-0711
147224074,way,MA-01-051-0719
148012837,way,MA-01-051-1313
148012838,way,MA-01-051-1313
148505862,way,MA-01-051-0721
149534099,way,MA-01-051-0301
150856149,way,MA-01-051-1115
150856150,way,MA-01-051-1115
151550496,way,MA-01-051-0101
152285916,way,MA-01-051-0101
152285917,way,MA-01-051-0101
152285918,way,MA-01-051-0101
152996403,way,MA-01-051-0103
152996407,way,MA-01-051-0105
152996416,way,MA-01-051-0105
152996417,way,MA-01-051-1319
152998088,way,MA-01-051-0307
154409638,way,MA-01-051-0101
157797810,way,MA-01-051-0105
158101545,way,MA-01-051-1101
159421489,way,MA-01-051-1115
159421489,way,MA-01-051-0101
159421491,way,MA-01-051-1101
167028363,way,MA-01-051-1115
167028366,way,MA-01-051-1115
167056402,way,MA-01-051-0703
167056402,way,MA-01-051-0909
167409830,way,MA-01-051-1319
170698853,way,MA-01-051-0711
170698853,way,MA-01-051-0707
170698853,way,MA-01-051-0703
170698861,way,MA-01-051-0915
172463518,way,MA-01-051-0105
172463519,way,MA-01-051-0105
172463520,way,MA-01-051-1319
172463521,way,MA-01-051-0105
172463524,way,MA-01-051-0105
172463525,way,MA-01-051-0103
172463526,way,MA-01-051-0105
172463529,way,MA-01-051-0103
172463529,way,MA-01-051-0105
172463531,way,MA-01-051-0105
172463533,way,MA-01-051-0103
172463535,way,MA-01-051-0103
172593163,way,MA-01-051-0103
172593163,way,MA-01-051-0105
172594250,way,MA-01-051-0105
172716228,way,MA-01-051-0103
173058069,way,MA-01-051-0915
173058070,way,MA-01-051-0915
173424528,way,MA-01-051-0917
174709031,way,MA-01-051-0101
174709034,way,MA-01-051-1115
174859905,way,MA-01-051-0101
174859922,way,MA-01-051-0101
176590241,way,MA-01-051-0705
176592310,way,MA-01-051-0705
176592312,way,MA-01-051-0705
178252870,way,MA-01-051-1115
178252871,way,MA-01-051-1115
178252877,way,MA-01-051-1115
178252877,way,MA-01-051-0101
178254131,way,MA-01-051-0923
178254131,way,MA-01-051-0909
178254131,way,MA-01-051-0901
178254132,way,MA-01-051-0915
178254132,way,MA-01-051-0901
178254133,way,MA-01-051-0901
178255918,way,MA-01-051-0913
178255918,way,MA-01-051-0917
178255919,way,MA-01-051-0917
178570440,way,MA-01-051-0105
178570448,way,MA-01-051-0105
178570451,way,MA-01-051-0105
178583191,way,MA-01-051-1115
178583195,way,MA-01-051-1115
178583205,way,MA-01-051-1115
178583208,way,MA-01-051-1115
179176553,way,MA-01-051-0101
179378382,way,MA-01-051-0105
180643636,way,MA-01-051-1115
180643638,way,MA-01-051-1115
180643639,way,MA-01-051-1115
180643640,way,MA-01-051-1115
180643641,way,MA-01-051-1115
180643642,way,MA-01-051-1115
180643643,way,MA-01-051-1115
180643649,way,MA-01-051-1115
181321614,way,MA-01-051-0301
181321620,way,MA-01-051-0301
181321621,way,MA-01-051-0301
181321622,way,MA-01-051-0301
181375559,way,MA-01-051-1125
181375560,way,MA-01-051-1101
181375560,way,MA-01-051-0307
181496369,way,MA-01-051-1125
181496382,way,MA-01-051-1125
182627188,way,MA-01-051-0307
182627193,way,MA-01-051-1313
182627194,way,MA-01-051-1121
182627195,way,MA-01-051-1313
182627197,way,MA-01-051-1121
182627197,way,MA-01-051-0307
182627198,way,MA-01-051-1313
182627199,way,MA-01-051-1313
182627200,way,MA-01-051-1313
182627200,way,MA-01-051-1317
183172642,way,MA-01-051-1101
183172642,way,MA-01-051-1121
183172644,way,MA-01-051-1101
185717947,way,MA-01-051-0925
185717947,way,MA-01-051-0901
195802451,way,MA-01-051-0101
195802452,way,MA-01-051-0101
195802453,way,MA-01-051-0101
195802454,way,MA-01-051-0101
233072521,way,MA-01-051-1313
233072523,way,MA-01-051-1313
235240222,way,MA-01-051-0303
235240226,way,MA-01-051-0303
235240227,way,MA-01-051-0303
264030336,way,MA-01-051-1313
271947745,way,MA-01-051-0101
271947747,way,MA-01-051-0101
288666412,way,MA-01-051-0705
289347908,way,MA-01-051-1319
289807043,way,MA-01-051-1115
289807052,way,MA-01-051-0719
289807059,way,MA-01-051-1115
289807070,way,MA-01-051-0719
291949637,way,MA-01-051-0915
298447335,way,MA-01-051-1319
298447345,way,MA-01-051-0103
298447346,way,MA-01-051-0105
298447360,way,MA-01-051-0105
298447362,way,MA-01-051-0103
298447365,way,MA-01-051-0103
298447365,way,MA-01-051-0105
298447367,way,MA-01-051-0105
298447377,way,MA-01-051-0105
298447379,way,MA-01-051-0103
298447380,way,MA-01-051-0105
298447381,way,MA-01-051-0105
298447382,way,MA-01-051-0105
298447384,way,MA-01-051-0103
298447392,way,MA-01-051-0105
307911604,way,MA-01-051-0101
308255550,way,MA-01-051-1305
308255587,way,MA-01-051-1305
308255587,way,MA-01-051-1323
308287314,way,MA-01-051-0107
308287327,way,MA-01-051-0719
308287327,way,MA-01-051-0107
308288205,way,MA-01-051-0107
308288206,way,MA-01-051-0719
308288206,way,MA-01-051-0107
