target_column,status,source,source_column
Population,NON_RESOLUE,,
Moins_de_6_ans,NON_RESOLUE,,
De_6_à_14_ans,NON_RESOLUE,,
De_15_à_59_ans,NON_RESOLUE,,
De_60_ans_et_plus,NON_RESOLUE,,
De_0_4_ans,NON_RESOLUE,,
De_5_9_ans,NON_RESOLUE,,
De_10_14_ans,NON_RESOLUE,,
De_15_19_ans,NON_RESOLUE,,
De_20_24_ans,NON_RESOLUE,,
De_25_29_ans,NON_RESOLUE,,
De_30_34_ans,NON_RESOLUE,,
De_35_39_ans,NON_RESOLUE,,
De_40_44_ans,NON_RESOLUE,,
De_45_49_ans,NON_RESOLUE,,
De_50_54_ans,NON_RESOLUE,,
De_55_59_ans,NON_RESOLUE,,
De_60_64_ans,NON_RESOLUE,,
De_65_69_ans,NON_RESOLUE,,
De_70_74_ans,NON_RESOLUE,,
De_75_ans_et_plus,NON_RESOLUE,,
Célibataire,NON_RESOLUE,,
Marié,NON_RESOLUE,,
Divorcé,NON_RESOLUE,,
Veuf,NON_RESOLUE,,
Age_moyen_au_premier_mariage,NON_RESOLUE,,
Taux_de_prévalence_du_handicap,NON_RESOLUE,,
Parité_moyenne_à_45_49_ans,NON_RESOLUE,,
Indice_synthétique_de_fécondité,NON_RESOLUE,,
Taux_scolarisation__7_à_12_ans,NON_RESOLUE,,
Taux_analphabétisme,NON_RESOLUE,,
Arabe_seule,NON_RESOLUE,,
Arabe_et_français_seules,NON_RESOLUE,,
Arabe__français_et_anglais,NON_RESOLUE,,
Autre_langue,NON_RESOLUE,,
Aucun_niveau_d_études,NON_RESOLUE,,
Préscolaire,NON_RESOLUE,,
Primaire,NON_RESOLUE,,
Secondaire_collégial,NON_RESOLUE,,
Secondaire_qualifiant,NON_RESOLUE,,
Supérieur,NON_RESOLUE,,
Darija,NON_RESOLUE,,
Tachelhit,NON_RESOLUE,,
Tamazight,NON_RESOLUE,,
Tarifit,NON_RESOLUE,,
Hassania,NON_RESOLUE,,
Population_Active,NON_RESOLUE,,
Population_Inactive,NON_RESOLUE,,
Taux_activité,NON_RESOLUE,,
Taux_chômage,NON_RESOLUE,,
Employeur,NON_RESOLUE,,
Indépendant,NON_RESOLUE,,
Salarié_dans_le_secteur_public,NON_RESOLUE,,
Salarié_dans_le_secteur_privé,NON_RESOLUE,,
Aide_familiale,NON_RESOLUE,,
Apprenti,NON_RESOLUE,,
Associé_ou_partenaire,NON_RESOLUE,,
Autre_activité,NON_RESOLUE,,
Ménage,NON_RESOLUE,,
Taille_moyenne,NON_RESOLUE,,
Villa,NON_RESOLUE,,
Appartement,NON_RESOLUE,,
Maison_marocaine,NON_RESOLUE,,
Habitat_sommaire,NON_RESOLUE,,
Logement_de_type_rural,NON_RESOLUE,,
Autre_type_logement,NON_RESOLUE,,
Taux_occupation,NON_RESOLUE,,
Propriétaire,NON_RESOLUE,,
Locataire,NON_RESOLUE,,
Autre_statut_occupation_logement,NON_RESOLUE,,
Moins_de_10_ans,NON_RESOLUE,,
Entre_10_et_19_ans,NON_RESOLUE,,
Entre_20_et_49_ans,NON_RESOLUE,,
De_50_ans_et_plus,NON_RESOLUE,,
Cuisine,NON_RESOLUE,,
W_C,NON_RESOLUE,,
Bain,NON_RESOLUE,,
Électricité,NON_RESOLUE,,
Eau_courante,NON_RESOLUE,,
Réseau_public,NON_RESOLUE,,
Fosse_septique,NON_RESOLUE,,
Autre_Mode_évacuation_eaux_usées,NON_RESOLUE,,
